Angular Acceleration (rad/s²) Run #1,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #2,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #3,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #4,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #5,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #6,Time (s) Auto,,Angular Acceleration (rad/s²) Run #7,Time (s) Auto
0,0.04,,,0.327,0.04,,,-0.654,0.04,,,5.236,0.04,,,-0.982,0.04,,,-0.327,0.04,,1.636,0.04
0,0.06,,,-0.327,0.06,,,-0.109,0.06,,,4.909,0.06,,,-0.436,0.06,,,-0.218,0.06,,0.545,0.06
0,0.08,,,-0.764,0.08,,,0.545,0.08,,,3.927,0.08,,,-0.109,0.08,,,0,0.08,,-0.436,0.08
0,0.1,,,-0.764,0.1,,,0.982,0.1,,,2.182,0.1,,,0,0.1,,,0.327,0.1,,-0.982,0.1
0,0.12,,,-0.545,0.12,,,0.873,0.12,,,0.218,0.12,,,0,0.12,,,0.436,0.12,,-0.764,0.12
0,0.14,,,-0.436,0.14,,,0.436,0.14,,,-0.982,0.14,,,0,0.14,,,0.436,0.14,,-0.109,0.14
0,0.16,,,-0.436,0.16,,,1.74E-16,0.16,,,-1.091,0.16,,,0,0.16,,,0.545,0.16,,0.327,0.16
0,0.18,,,-0.218,0.18,,,-0.436,0.18,,,-0.654,0.18,,,0.109,0.18,,,0.982,0.18,,0.109,0.18
0.109,0.2,,,0.109,0.2,,,-0.764,0.2,,,-0.545,0.2,,,0.327,0.2,,,1.309,0.2,,-0.545,0.2
0.327,0.22,,,0.218,0.22,,,-0.764,0.22,,,-0.873,0.22,,,0.436,0.22,,,0.654,0.22,,-0.982,0.22
0.327,0.24,,,0.218,0.24,,,-0.327,0.24,,,-1.2,0.24,,,0.218,0.24,,,-1.091,0.24,,-0.873,0.24
-0.109,0.26,,,0.436,0.26,,,4.77E-16,0.26,,,-1.309,0.26,,,-0.109,0.26,,,-3.382,0.26,,-0.436,0.26
-0.654,0.28,,,0.764,0.28,,,-0.109,0.28,,,-1.091,0.28,,,5.20E-16,0.28,,,-5.018,0.28,,-0.218,0.28
-0.654,0.3,,,0.873,0.3,,,-0.327,0.3,,,-0.436,0.3,,,0.654,0.3,,,-5.563,0.3,,-0.327,0.3
-0.109,0.32,,,0.764,0.32,,,-0.218,0.32,,,0.436,0.32,,,1.745,0.32,,,-6.327,0.32,,-0.545,0.32
0.327,0.34,,,0.545,0.34,,,0.218,0.34,,,1.091,0.34,,,3.272,0.34,,,-8.945,0.34,,-0.436,0.34
0.327,0.36,,,0.327,0.36,,,0.545,0.36,,,1.309,0.36,,,4.036,0.36,,,-12.981,0.36,,0.109,0.36
0.109,0.38,,,0.109,0.38,,,0.545,0.38,,,1.2,0.38,,,1.527,0.38,,,-14.726,0.38,,0.654,0.38
0,0.4,,,-2.60E-16,0.4,,,0.218,0.4,,,0.982,0.4,,,-4.145,0.4,,,-11.345,0.4,,0.764,0.4
0,0.42,,,-0.109,0.42,,,-0.218,0.42,,,0.545,0.42,,,-7.745,0.42,,,-4.145,0.42,,0.436,0.42
0,0.44,,,-0.218,0.44,,,-0.436,0.44,,,3.47E-16,0.44,,,-3.491,0.44,,,2.945,0.44,,0.109,0.44
