Angular Velocity (rad/s) Run #17,Time (s) Auto,,,Angular Velocity (rad/s) Run #18,Time (s) Auto,,,Angular Velocity (rad/s) Run #19,Time (s) Auto,,,Angular Velocity (rad/s) Run #21,Time (s) Auto,,,Angular Velocity (rad/s) Run #22,Time (s) Auto
-0.052,0.54,,,-0.026,0.46,,,0.196,0.24,,,-0.052,1.12,,,-0.17,0.06
0.026,0.56,,,-0.026,0.48,,,0.249,0.26,,,-0.065,1.14,,,-0.144,0.08
0.092,0.58,,,0,0.5,,,0.327,0.28,,,-0.065,1.16,,,-0.013,0.1
0.17,0.6,,,0.052,0.52,,,0.406,0.3,,,-0.013,1.18,,,0.288,0.12
0.249,0.62,,,0.131,0.54,,,0.471,0.32,,,0.157,1.2,,,0.733,0.14
0.314,0.64,,,0.236,0.56,,,0.537,0.34,,,0.419,1.22,,,1.244,0.16
0.38,0.66,,,0.353,0.58,,,0.654,0.36,,,0.72,1.24,,,1.754,0.18
0.458,0.68,,,0.511,0.6,,,0.838,0.38,,,0.982,1.26,,,2.251,0.2
0.537,0.7,,,0.72,0.62,,,1.1,0.4,,,1.204,1.28,,,2.736,0.22
0.602,0.72,,,0.956,0.64,,,1.414,0.42,,,1.479,1.3,,,3.207,0.24
0.654,0.74,,,1.178,0.66,,,1.754,0.44,,,1.82,1.32,,,3.665,0.26
0.72,0.76,,,1.388,0.68,,,2.094,0.46,,,2.238,1.34,,,4.136,0.28
0.785,0.78,,,1.61,0.7,,,2.422,0.48,,,2.657,1.36,,,4.621,0.3
0.851,0.8,,,1.846,0.72,,,2.749,0.5,,,3.076,1.38,,,5.118,0.32
0.916,0.82,,,2.081,0.74,,,3.076,0.52,,,3.495,1.4,,,5.603,0.34
0.969,0.84,,,2.304,0.76,,,3.416,0.54,,,3.914,1.42,,,6.1,0.36
1.021,0.86,,,2.526,0.78,,,3.757,0.56,,,4.333,1.44,,,6.597,0.38
1.073,0.88,,,2.749,0.8,,,4.084,0.58,,,4.739,1.46,,,7.082,0.4
1.139,0.9,,,2.971,0.82,,,4.411,0.6,,,5.144,1.48,,,7.566,0.42
1.217,0.92,,,3.181,0.84,,,4.752,0.62,,,5.537,1.5,,,8.05,0.44
1.283,0.94,,,3.39,0.86,,,5.092,0.64,,,5.93,1.52,,,8.548,0.46
1.335,0.96,,,3.626,0.88,,,5.419,0.66,,,6.336,1.54,,,9.045,0.48
1.388,0.98,,,3.862,0.9,,,5.733,0.68,,,6.741,1.56,,,9.543,0.5
1.44,1,,,4.084,0.92,,,6.061,0.7,,,7.147,1.58,,,10.04,0.52
1.492,1.02,,,4.294,0.94,,,6.388,0.72,,,7.54,1.6,,,10.537,0.54
1.545,1.04,,,4.516,0.96,,,6.702,0.74,,,7.933,1.62,,,11.035,0.56
1.597,1.06,,,4.752,0.98,,,7.003,0.76,,,8.325,1.64,,,11.532,0.58
1.649,1.08,,,4.987,1,,,7.317,0.78,,,8.705,1.66,,,12.017,0.6
1.689,1.1,,,5.21,1.02,,,7.645,0.8,,,9.084,1.68,,,12.488,0.62
1.728,1.12,,,5.432,1.04,,,7.959,0.82,,,9.464,1.7,,,12.972,0.64
1.767,1.14,,,5.655,1.06,,,8.273,0.84,,,9.857,1.72,,,13.47,0.66
1.806,1.16,,,5.89,1.08,,,8.6,0.86,,,10.236,1.74,,,13.967,0.68
1.859,1.18,,,6.126,1.1,,,8.927,0.88,,,10.603,1.76,,,14.451,0.7
1.924,1.2,,,6.349,1.12,,,9.242,0.9,,,10.956,1.78,,,14.923,0.72
1.99,1.22,,,6.571,1.14,,,9.543,0.92,,,11.297,1.8,,,15.394,0.74
2.042,1.24,,,6.794,1.16,,,9.857,0.94,,,11.637,1.82,,,15.878,0.76
2.094,1.26,,,7.042,1.18,,,10.184,0.96,,,11.977,1.84,,,16.376,0.78
2.147,1.28,,,7.291,1.2,,,10.511,0.98,,,12.344,1.86,,,16.886,0.8
2.199,1.3,,,7.527,1.22,,,10.825,1,,,12.737,1.88,,,17.383,0.82
2.251,1.32,,,7.749,1.24,,,11.126,1.02,,,13.155,1.9,,,17.855,0.84
2.317,1.34,,,7.959,1.26,,,11.441,1.04,,,13.574,1.92,,,18.3,0.86
2.382,1.36,,,8.181,1.28,,,11.768,1.06,,,13.993,1.94,,,18.758,0.88
2.435,1.38,,,8.404,1.3,,,12.082,1.08,,,14.478,1.96,,,19.242,0.9
2.474,1.4,,,8.613,1.32,,,12.383,1.1,,,15.001,1.98,,,19.714,0.92
2.526,1.42,,,8.823,1.34,,,12.697,1.12,,,15.499,2,,,20.172,0.94
2.592,1.44,,,9.019,1.36,,,13.025,1.14,,,15.917,2.02,,,20.604,0.96
2.657,1.46,,,9.215,1.38,,,13.352,1.16,,,16.297,2.04,,,21.036,0.98
2.723,1.48,,,9.412,1.4,,,13.679,1.18,,,16.677,2.06,,,21.454,1
2.775,1.5,,,9.621,1.42,,,14.006,1.2,,,17.056,2.08,,,21.86,1.02
2.827,1.52,,,9.844,1.44,,,14.32,1.22,,,17.449,2.1,,,22.253,1.04
2.88,1.54,,,10.066,1.46,,,14.635,1.24,,,17.855,2.12,,,22.633,1.06
2.932,1.56,,,10.289,1.48,,,14.949,1.26,,,18.261,2.14,,,23.051,1.08
2.998,1.58,,,10.498,1.5,,,15.276,1.28,,,18.64,2.16,,,23.562,1.1
3.063,1.6,,,10.708,1.52,,,15.59,1.3,,,19.007,2.18,,,24.138,1.12
3.115,1.62,,,10.93,1.54,,,15.904,1.32,,,19.36,2.2,,,24.675,1.14
3.168,1.64,,,11.166,1.56,,,16.218,1.34,,,19.687,2.22,,,25.133,1.16
3.22,1.66,,,11.388,1.58,,,16.52,1.36,,,19.988,2.24,,,25.499,1.18
3.286,1.68,,,11.598,1.6,,,16.821,1.38,,,20.25,2.26,,,25.813,1.2
3.338,1.7,,,11.807,1.62,,,17.122,1.4,,,20.46,2.28,,,26.075,1.22
3.377,1.72,,,12.03,1.64,,,17.436,1.42,,,20.617,2.3,,,26.285,1.24
3.43,1.74,,,12.252,1.66,,,17.75,1.44,,,20.721,2.32,,,26.455,1.26
3.482,1.76,,,12.488,1.68,,,18.064,1.46,,,20.8,2.34,,,26.586,1.28
3.547,1.78,,,12.723,1.7,,,18.378,1.48,,,20.865,2.36,,,26.782,1.3
3.6,1.8,,,12.946,1.72,,,18.706,1.5,,,20.996,2.38,,,27.424,1.32
3.652,1.82,,,13.182,1.74,,,19.033,1.52,,,21.533,2.4,,,28.274,1.34
3.704,1.84,,,13.417,1.76,,,19.36,1.54,,,22.24,2.42,,,,
3.757,1.86,,,13.653,1.78,,,19.687,1.56,,,22.659,2.44,,,,
3.809,1.88,,,13.875,1.8,,,20.015,1.58,,,22.619,2.46,,,,
3.848,1.9,,,14.098,1.82,,,20.342,1.6,,,22.358,2.48,,,,
3.901,1.92,,,14.32,1.84,,,20.669,1.62,,,22.188,2.5,,,,
3.953,1.94,,,14.543,1.86,,,20.996,1.64,,,21.978,2.52,,,,
4.006,1.96,,,14.739,1.88,,,21.31,1.66,,,21.769,2.54,,,,
4.045,1.98,,,14.909,1.9,,,21.612,1.68,,,21.638,2.56,,,,
4.084,2,,,15.093,1.92,,,21.9,1.7,,,21.572,2.58,,,,
4.136,2.02,,,15.315,1.94,,,22.188,1.72,,,21.52,2.6,,,,
