Angular Acceleration (rad/s²) Run #17,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #18,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #19,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #21,Time (s) Auto,,,Angular Acceleration (rad/s²) Run #22,Time (s) Auto
3.818,0.48,,,9.054,0.6,,,13.963,0.4,,,-1.2,0.22,,,17.781,0.12
4.036,0.5,,,10.581,0.62,,,15.926,0.42,,,0.982,0.24,,,22.689,0.14
4.145,0.52,,,11.126,0.64,,,16.69,0.44,,,1.745,0.26,,,24.871,0.16
4.036,0.54,,,11.017,0.66,,,16.69,0.46,,,1.2,0.28,,,25.089,0.18
3.818,0.56,,,11.017,0.68,,,16.472,0.48,,,0.109,0.3,,,24.544,0.2
3.709,0.58,,,11.345,0.7,,,16.472,0.5,,,-0.654,0.32,,,23.889,0.22
3.709,0.6,,,11.563,0.72,,,16.69,0.52,,,-0.873,0.34,,,23.453,0.24
3.6,0.62,,,11.454,0.74,,,16.799,0.54,,,-0.873,0.36,,,23.453,0.26
3.491,0.64,,,11.236,0.76,,,16.69,0.56,,,-0.982,0.38,,,23.889,0.28
3.6,0.66,,,11.126,0.78,,,16.581,0.58,,,-0.873,0.4,,,24.326,0.3
3.709,0.68,,,11.017,0.8,,,16.69,0.6,,,6.94E-16,0.42,,,24.544,0.32
3.491,0.7,,,10.799,0.82,,,16.799,0.62,,,1.2,0.44,,,24.653,0.34
3.163,0.72,,,10.799,0.84,,,16.581,0.64,,,1.745,0.46,,,24.653,0.36
3.054,0.74,,,11.126,0.86,,,16.253,0.66,,,1.309,0.48,,,24.544,0.38
3.163,0.76,,,11.454,0.88,,,16.144,0.68,,,0.436,0.5,,,24.326,0.4
3.272,0.78,,,11.345,0.9,,,16.144,0.7,,,-0.436,0.52,,,24.326,0.42
3.163,0.8,,,11.017,0.92,,,15.926,0.72,,,-1.2,0.54,,,24.544,0.44
2.945,0.82,,,11.017,0.94,,,15.599,0.74,,,-1.527,0.56,,,24.762,0.46
2.727,0.84,,,11.345,0.96,,,15.599,0.76,,,-1.091,0.58,,,24.871,0.48
2.727,0.86,,,11.563,0.98,,,15.817,0.78,,,-0.218,0.6,,,24.871,0.5
3.054,0.88,,,11.454,1,,,15.926,0.8,,,0.436,0.62,,,24.871,0.52
3.382,0.9,,,11.236,1.02,,,15.926,0.82,,,0.436,0.64,,,24.871,0.54
3.382,0.92,,,11.236,1.04,,,16.035,0.84,,,-0.109,0.66,,,24.762,0.56
3.054,0.94,,,11.454,1.06,,,16.144,0.86,,,-0.654,0.68,,,24.435,0.58
2.727,0.96,,,11.563,1.08,,,15.926,0.88,,,-0.764,0.7,,,24.107,0.6
2.618,0.98,,,11.454,1.1,,,15.599,0.9,,,-0.327,0.72,,,24.107,0.62
2.618,1,,,11.236,1.12,,,15.599,0.92,,,0.218,0.74,,,24.435,0.64
2.618,1.02,,,11.345,1.14,,,15.926,0.94,,,0.545,0.76,,,24.653,0.66
2.618,1.04,,,11.781,1.16,,,16.144,0.96,,,0.545,0.78,,,24.435,0.68
2.509,1.06,,,12.108,1.18,,,15.926,0.98,,,0.218,0.8,,,23.998,0.7
2.291,1.08,,,11.999,1.2,,,15.599,1,,,-0.218,0.82,,,23.78,0.72
2.073,1.1,,,11.454,1.22,,,15.599,1.02,,,-0.327,0.84,,,23.998,0.74
1.963,1.12,,,11.017,1.24,,,15.817,1.04,,,4.16E-15,0.86,,,24.544,0.76
2.073,1.14,,,10.908,1.26,,,15.817,1.06,,,0.327,0.88,,,24.98,0.78
2.4,1.16,,,10.908,1.28,,,15.599,1.08,,,0.327,0.9,,,24.871,0.8
