Angular Velocity (rad/s) Run #11,Time (s) Auto,,,Angular Velocity (rad/s) Run #12,Time (s) Auto,,,Angular Velocity (rad/s) Run #14,Time (s) Auto,,,Angular Velocity (rad/s) Run #15,Time (s) Auto,,,Angular Velocity (rad/s) Run #16,Time (s) Auto
1.78,5.52,,,0.118,0.7,,,0.144,0.04,,,0.065,0.74,,,0.039,0.46
1.78,5.54,,,0.144,0.72,,,0.157,0.06,,,0.092,0.76,,,0.052,0.48
1.78,5.56,,,0.157,0.74,,,0.17,0.08,,,0.131,0.78,,,0.079,0.5
1.793,5.58,,,0.157,0.76,,,0.196,0.1,,,0.17,0.8,,,0.131,0.52
1.806,5.6,,,0.157,0.78,,,0.223,0.12,,,0.196,0.82,,,0.17,0.54
1.806,5.62,,,0.17,0.8,,,0.236,0.14,,,0.223,0.84,,,0.196,0.56
1.806,5.64,,,0.196,0.82,,,0.249,0.16,,,0.249,0.86,,,0.223,0.58
1.82,5.66,,,0.223,0.84,,,0.275,0.18,,,0.275,0.88,,,0.249,0.6
1.833,5.68,,,0.236,0.86,,,0.301,0.2,,,0.288,0.9,,,0.288,0.62
1.846,5.7,,,0.223,0.88,,,0.327,0.22,,,0.314,0.92,,,0.314,0.64
1.846,5.72,,,0.17,0.9,,,0.34,0.24,,,0.34,0.94,,,0.34,0.66
1.846,5.74,,,0.105,0.92,,,0.353,0.26,,,0.367,0.96,,,0.367,0.68
1.859,5.76,,,0.052,0.94,,,0.367,0.28,,,0.393,0.98,,,0.393,0.7
1.872,5.78,,,0.039,0.96,,,0.393,0.3,,,0.419,1,,,0.432,0.72
1.885,5.8,,,0.039,0.98,,,0.419,0.32,,,0.445,1.02,,,0.471,0.74
1.885,5.82,,,0.039,1,,,0.432,0.34,,,0.458,1.04,,,0.511,0.76
1.885,5.84,,,0.065,1.02,,,0.445,0.36,,,0.484,1.06,,,0.537,0.78
1.898,5.86,,,0.092,1.04,,,0.471,0.38,,,0.511,1.08,,,0.55,0.8
1.911,5.88,,,0.105,1.06,,,0.497,0.4,,,0.537,1.1,,,0.563,0.82
1.924,5.9,,,0.105,1.08,,,0.511,0.42,,,0.563,1.12,,,0.602,0.84
1.924,5.92,,,0.118,1.1,,,0.524,0.44,,,0.589,1.14,,,0.641,0.86
1.924,5.94,,,0.144,1.12,,,0.55,0.46,,,0.615,1.16,,,0.668,0.88
1.937,5.96,,,0.157,1.14,,,0.576,0.48,,,0.641,1.18,,,0.694,0.9
1.95,5.98,,,0.157,1.16,,,0.589,0.5,,,0.668,1.2,,,0.733,0.92
1.963,6,,,0.17,1.18,,,0.602,0.52,,,0.694,1.22,,,0.772,0.94
1.963,6.02,,,0.196,1.2,,,0.615,0.54,,,0.707,1.24,,,0.785,0.96
1.963,6.04,,,0.223,1.22,,,0.641,0.56,,,0.72,1.26,,,0.798,0.98
1.977,6.06,,,0.236,1.24,,,0.668,0.58,,,0.759,1.28,,,0.825,1
1.99,6.08,,,0.236,1.26,,,0.694,0.6,,,0.798,1.3,,,0.864,1.02
2.003,6.1,,,0.236,1.28,,,0.707,0.62,,,0.825,1.32,,,0.903,1.04
2.003,6.12,,,0.249,1.3,,,0.72,0.64,,,0.838,1.34,,,0.942,1.06
2.003,6.14,,,0.275,1.32,,,0.746,0.66,,,0.851,1.36,,,0.969,1.08
2.016,6.16,,,0.301,1.34,,,0.772,0.68,,,0.877,1.38,,,0.995,1.1
2.029,6.18,,,0.314,1.36,,,0.785,0.7,,,0.903,1.4,,,1.021,1.12
2.042,6.2,,,0.314,1.38,,,0.798,0.72,,,0.929,1.42,,,1.047,1.14
2.042,6.22,,,0.314,1.4,,,0.812,0.74,,,0.956,1.44,,,1.073,1.16
2.042,6.24,,,0.327,1.42,,,0.825,0.76,,,0.982,1.46,,,1.1,1.18
2.042,6.26,,,0.353,1.44,,,0.851,0.78,,,1.008,1.48,,,1.139,1.2
2.055,6.28,,,0.38,1.46,,,0.877,0.8,,,1.034,1.5,,,1.165,1.22
2.068,6.3,,,0.393,1.48,,,0.903,0.82,,,1.06,1.52,,,1.191,1.24
