Angular Velocity (rad/s) Run #2,Time (s) Auto,,,Angular Velocity (rad/s) Run #3,Time (s) Auto,,,Angular Velocity (rad/s) Run #4,Time (s) Auto,,,Angular Velocity (rad/s) Run #5,Time (s) Auto,,,Angular Velocity (rad/s) Run #6,Time (s) Auto,,,Angular Velocity (rad/s) Run #7,Time (s) Auto,,,Angular Velocity (rad/s) Run #10,Time (s) Auto
0.262,0.66,,,-0.236,1.06,,,0.183,0.8,,,-0.17,0.46,,,0.34,0.64,,,0.157,0.92,,,0.118,0.98
0.236,0.68,,,-0.445,1.08,,,0.209,0.82,,,0.17,0.48,,,0.511,0.66,,,0.34,0.94,,,0.236,1
0.17,0.7,,,-0.668,1.1,,,0.38,0.84,,,0.707,0.5,,,0.668,0.68,,,0.654,0.96,,,0.615,1.02
0.065,0.72,,,-0.825,1.12,,,0.733,0.86,,,1.296,0.52,,,0.825,0.7,,,1.021,0.98,,,1.191,1.04
-0.039,0.74,,,-0.916,1.14,,,1.165,0.88,,,1.898,0.54,,,0.982,0.72,,,1.388,1,,,1.793,1.06
-0.092,0.76,,,-0.982,1.16,,,1.61,0.9,,,2.487,0.56,,,1.126,0.74,,,1.754,1.02,,,2.382,1.08
-0.079,0.78,,,-1.113,1.18,,,2.055,0.92,,,3.063,0.58,,,1.283,0.76,,,2.121,1.04,,,2.958,1.1
-0.026,0.8,,,-1.335,1.2,,,2.5,0.94,,,3.639,0.6,,,1.44,0.78,,,2.487,1.06,,,3.547,1.12
0.039,0.82,,,-1.649,1.22,,,2.932,0.96,,,4.202,0.62,,,1.597,0.8,,,2.841,1.08,,,4.136,1.14
0.092,0.84,,,-2.003,1.24,,,3.351,0.98,,,4.765,0.64,,,1.741,0.82,,,3.194,1.1,,,4.712,1.16
0.052,0.86,,,-2.356,1.26,,,3.77,1,,,5.341,0.66,,,1.885,0.84,,,3.56,1.12,,,5.288,1.18
-0.144,0.88,,,-2.723,1.28,,,4.202,1.02,,,5.917,0.68,,,2.042,0.86,,,3.927,1.14,,,5.864,1.2
-0.458,0.9,,,-3.102,1.3,,,4.621,1.04,,,6.48,0.7,,,2.186,0.88,,,4.28,1.16,,,6.44,1.22
-0.772,0.92,,,-3.469,1.32,,,5.04,1.06,,,7.029,0.72,,,2.33,0.9,,,4.634,1.18,,,7.003,1.24
-1.034,0.94,,,-3.822,1.34,,,5.472,1.08,,,7.592,0.74,,,2.474,0.92,,,4.987,1.2,,,7.566,1.26
-1.27,0.96,,,-4.176,1.36,,,5.904,1.1,,,8.168,0.76,,,2.618,0.94,,,5.328,1.22,,,8.142,1.28
-1.518,0.98,,,-4.542,1.38,,,6.336,1.12,,,8.757,0.78,,,2.762,0.96,,,5.668,1.24,,,8.705,1.3
-1.767,1,,,-4.909,1.4,,,6.754,1.14,,,9.333,0.8,,,2.906,0.98,,,6.021,1.26,,,9.255,1.32
-2.016,1.02,,,-5.249,1.42,,,7.173,1.16,,,9.896,0.82,,,3.063,1,,,6.388,1.28,,,9.804,1.34
-2.278,1.04,,,-5.589,1.44,,,7.579,1.18,,,10.459,0.84,,,3.22,1.02,,,6.754,1.3,,,10.367,1.36
-2.539,1.06,,,-5.943,1.46,,,7.985,1.2,,,11.035,0.86,,,3.364,1.04,,,7.121,1.32,,,10.93,1.38
-2.788,1.08,,,-6.322,1.48,,,8.404,1.22,,,11.624,0.88,,,3.495,1.06,,,7.487,1.34,,,11.48,1.4
-3.024,1.1,,,-6.689,1.5,,,8.836,1.24,,,12.213,0.9,,,3.626,1.08,,,7.841,1.36,,,12.03,1.42
-3.259,1.12,,,-7.029,1.52,,,9.268,1.26,,,12.802,0.92,,,3.77,1.1,,,8.181,1.38,,,12.593,1.44
-3.508,1.14,,,-7.37,1.54,,,9.687,1.28,,,13.378,0.94,,,3.927,1.12,,,8.522,1.4,,,13.155,1.46
-3.757,1.16,,,-7.723,1.56,,,10.105,1.3,,,13.941,0.96,,,4.071,1.14,,,8.875,1.42,,,13.705,1.48
-4.006,1.18,,,-8.09,1.58,,,10.537,1.32,,,14.504,0.98,,,4.215,1.16,,,9.242,1.44,,,14.268,1.5
-4.241,1.2,,,-8.443,1.6,,,11.009,1.34,,,15.08,1,,,4.359,1.18,,,9.608,1.46,,,14.844,1.52
-4.477,1.22,,,-8.81,1.62,,,11.493,1.36,,,15.669,1.02,,,4.503,1.2,,,9.961,1.48,,,15.407,1.54
-4.712,1.24,,,-9.189,1.64,,,11.964,1.38,,,16.245,1.04,,,4.647,1.22,,,10.302,1.5,,,15.957,1.56
