Velocity (m/s) Run #6,Time (s) Auto,,Acceleration (m/s²) Run #6,Time (s) Auto,,,Velocity (m/s) Run #25,Time (s) Auto,,,,,,Velocity (m/s) Run #27,Time (s) Auto,,Acceleration (m/s²) Run #27,Time (s) Auto
1.13,1.225,,3.6,1.2,,,0.18,2.16,,,,,,0.24,0.28,,7.09,0.28
1.11,1.25,,0.48,1.225,,,0.21,2.2,,,,,,0.48,0.32,,5.39,0.32
1.17,1.275,,0.8,1.25,,,0.22,2.24,,,,,,0.66,0.36,,3.55,0.36
1.25,1.3,,2.21,1.275,,,0.22,2.28,,,,,,0.75,0.4,,2.36,0.4
1.31,1.325,,2.6,1.3,,,0.22,2.32,,,,,,0.81,0.44,,1.91,0.44
1.35,1.35,,2.12,1.325,,,0.22,2.36,,,,,,0.89,0.48,,1.85,0.48
1.39,1.375,,1.65,1.35,,,0.22,2.4,,,,,,0.98,0.52,,1.59,0.52
1.43,1.4,,1.56,1.375,,,0.23,2.44,,,,,,1.03,0.56,,1.15,0.56
1.47,1.425,,1.79,1.4,,,0.24,2.48,,,,,,1.05,0.6,,1.13,0.6
1.53,1.45,,2.09,1.425,,,0.24,2.52,,,,,,1.09,0.64,,1.65,0.64
1.59,1.475,,2.16,1.45,,,0.25,2.56,,,,,,1.19,0.68,,2.14,0.68
1.63,1.5,,1.7,1.475,,,0.25,2.6,,,,,,1.29,0.72,,2.25,0.72
1.63,1.525,,0.89,1.5,,,0.26,2.64,,,,,,1.37,0.76,,1.99,0.76
1.63,1.55,,0.5,1.525,,,0.27,2.68,,,,,,1.45,0.8,,1.55,0.8
1.67,1.575,,0.82,1.55,,,0.29,2.72,,,,,,1.51,0.84,,1.1,0.84
1.72,1.6,,1.47,1.575,,,0.3,2.76,,,,,,1.53,0.88,,0.85,0.88
1.76,1.625,,1.83,1.6,,,0.3,2.8,,,,,,1.55,0.92,,-0.64,0.92
1.81,1.65,,1.9,1.625,,,0.3,2.84,,,,,,1.6,0.96,,#DIV/0!,
,,,0.52,1.65,,,0.31,2.88,,Acceleration (m/s²) Run #25,Time (s) Auto,,,,,,,
mean,stdv,,mean,stdv,,,0.33,2.92,,0.57,2.2,,,,,,,
1.48,0.22,,1.61,0.81,,,0.33,2.96,,0.26,2.24,,,,,,,
,,,,,,,0.33,3,,0.07,2.28,,,,,,,
velocity error,,,,,,,0.32,3.04,,0,2.32,,,,,,,
0.01,,,,,,,0.31,3.08,,0.03,2.36,,,,,,,
,,,,,,,0.29,3.12,,0.11,2.4,,,,,,,
,,,,,,,0.28,3.16,,0.15,2.44,,,,,,,
,,,,,,,0.3,3.2,,0.15,2.48,,,,,,,
,,,,,,,0.34,3.24,,0.15,2.52,,,,,,,
,,,,,,,0.36,3.28,,0.15,2.56,,,,,,,
,,,,,,,0.36,3.32,,0.18,2.6,,,,,,,
,,,,,,,0.37,3.36,,0.24,2.64,,,,,,,
,,,,,,,0.38,3.4,,0.3,2.68,,,,,,,
,,,,,,,0.38,3.44,,0.28,2.72,,,,,,,
,,,,,,,0.39,3.48,,0.17,2.76,,,,,,,
,,,,,,,0.4,3.52,,0.1,2.8,,,,,,,
,,,,,,,0.41,3.56,,0.15,2.84,,,,,,,
,,,,,,,0.42,3.6,,0.24,2.88,,,,,,,
,,,,,,,0.43,3.64,,0.23,2.92,,,,,,,
,,,,,,,0.43,3.68,,0.08,2.96,,,,,,,
,,,,,,,0.43,3.72,,-0.1,3,,,,,,,
,,,,,,,0.43,3.76,,-0.27,3.04,,,,,,,
,,,,,,,0.45,3.8,,-0.37,3.08,,,,,,,
,,,,,,,0.47,3.84,,-0.22,3.12,,,,,,,
,,,,,,,0.47,3.88,,0.17,3.16,,,,,,,
,,,,,,,0.47,3.92,,0.53,3.2,,,,,,,
,,,,,,,0.46,3.96,,0.58,3.24,,,,,,,
,,,,,,,0.48,4,,0.4,3.28,,,,,,,
,,,,,,,0.5,4.04,,0.22,3.32,,,,,,,
,,,,,,,0.48,4.08,,,,,,,,,,
,,,,,,,0.43,4.12,,,,,,,,,,
,,,,,,,0.41,4.16,,,,,,,,,,
,,,,,,,0.45,4.2,,,,,,,,,,
,,,,,,,0.5,4.24,,,,,,,,,,
,,,,,,,0.52,4.28,,,,,,,,,,
,,,,,,,0.52,4.32,,,,,,,,,,
,,,,,,,0.53,4.36,,,,,,,,,,
