1st,,,,2nd,,,3rd,,,,red,,,blue,,,before,,,after,,,before,
,,,,-48.33,3.75,,-70.2,2.1,,,,,,,,,,,,,,,,
Angle (°) Run #1,Time (s) Auto,,,-45.09,1.2,,-63.09,1.8,,,Velocity (m/s) Run #46,Time (s) Auto,,Velocity (m/s) Run #46,Time (s) Auto,,,,,,,,,
-5.13,3,,,-46.44,1.2,,-64.08,1.1,,,0.01,1,,0.04,1.05,,Velocity (m/s) Run #49,Time (s) Auto,,Velocity (m/s) Run #49,Time (s) Auto,,,
-2.52,2.7,,,-49.05,1.4,,-63.63,1.8,,,0.04,1.05,,0.1,1.1,,0.11,0.8,,-0.2,1.65,,Velocity (m/s) Run #49,Time (s) Auto
-37.08,0.9,,,-49.5,1.1,,-65.52,2.4,,,0.1,1.1,,0.24,1.15,,0.19,0.85,,-0.38,1.7,,0.27,0.9
-32.49,0.95,,,-47.07,0.85,,-64.98,1.05,,,0.24,1.15,,0.27,1.2,,0.27,0.9,,-0.45,1.75,,0.3,0.95
-36.72,0.9,,,-49.41,0.95,,-63.09,1.5,,,0.27,1.2,,0.33,1.25,,0.3,0.95,,-0.45,1.8,,0.3,1
-35.37,1.1,,,-45.72,1.05,,-65.16,1.8,,,0.33,1.25,,0.44,1.3,,0.3,1,,-0.45,1.85,,0.3,1.05
-36,1.15,,,-47.43,1.05,,-62.46,2.5,,,0.44,1.3,,0.55,1.35,,0.3,1.05,,-0.45,1.9,,0.29,1.1
-36.63,3.85,,,-46.89,0.7,,-65.88,2,,,0.55,1.35,,0.58,1.4,,0.29,1.1,,-0.45,1.95,,0.3,1.15
-38.16,3.45,,,,,,,,,,0.58,1.4,,0.46,1.45,,0.3,1.15,,-0.45,2,,0.29,1.2
-38.07,2.4,,,,,,,,,,0.46,1.45,,0.46,1.5,,0.29,1.2,,-0.42,2.05,,0.29,1.25
,,,,,,,,,,,0.46,1.5,,0.48,1.55,,0.29,1.25,,-0.34,2.1,,0.28,1.3
,,,,,,,,,,,0.48,1.55,,0.48,1.6,,0.28,1.3,,-0.2,2.15,,0.27,1.35
,,,,,,,,,,,0.48,1.6,,0.44,1.65,,0.27,1.35,,,,,0.28,1.4
,,,,,,,,,,,0.44,1.65,,0.42,1.7,,0.28,1.4,,,,,0.28,1.45
,,,,,,,,,,,0.42,1.7,,0.39,1.75,,0.28,1.45,,,,,0.28,1.5
,,,,,,,,,,,0.39,1.75,,0.38,1.8,,0.28,1.5,,,,,0.21,1.55
,,,,,,,,,,,0.38,1.8,,0.4,1.85,,0.21,1.55,,,,,,
,,,,,,,,,,,0.4,1.85,,0.43,1.9,,0.03,1.6,,,,,,
,,,,,,,,,,,0.43,1.9,,0.39,1.95,,,,after,,,,,
,,,,,,,,,,,0.39,1.95,,0.24,2,,,,,,,,,
,,,,,,,,,,,0.24,2,,0.08,2.05,,,,Velocity (m/s) Run #49,Time (s) Auto,,,,
,,,,,,,,,,,0.08,2.05,,,,,,,-0.2,1.65,,,,
,,,,,,,,,,,-1.22,2.1,,,,,,,-0.38,1.7,,,,
,,,,,,,,,,,-2.45,2.15,,,,,,,-0.45,1.75,,,,
,,,,,,,,,,,-2.46,2.2,,,,1.16495112,,,-0.45,1.8,,,,
,,,,,,,,,,,,,,,,,,,-0.45,1.85,,,,
,,,,,,,,,,,,,,,,,,,-0.45,1.9,,,,
,,,,,,,,,,,,,,,,,,,-0.45,1.95,,,,
,,,,,,,,,,,,,,,,,,,-0.45,2,,,,
,,,,,,,,,,,,,,,,,,,-0.42,2.05,,,,
,,,,,,,,,,,,,,,,,,,-0.34,2.1,,,,
,,,,,,,,,,,,,,,,,,,-0.2,2.15,,,,
,,,,,,,,,,,,,,,,,,,-0.08,2.2,,,,
,,,,,,,,,,,,,,,,,,,-0.02,2.25,,,,
,,,,,,,,,,,,,,,,,,,0,2.3,,,,
