0,,,,0,,,,0,,,,0,,,,,,Para,,,,,Para,
Force (N),Position (m),,,,,,,,,,,,,,,,,,,,,,,
0,0.15,,,Run #21,Run #21,,,,,,,,,,,,,,,,,,0,
0,0.15,,,Force (N),Position (m),,,Run #38,Run #38,,,,,,,,,0,,,,,Run #74,Run #74
0,0.15,,,0,0.15,,,Force (N),Position (m),,,0,,,,,,Run #62,Run #62,,,,Force (N),Position (m)
0,0.15,,,0,0.15,,,0,0.16,,,Run #50,Run #50,,,,,Force (N),Position (m),,,,0,0.38
0,0.15,,,0,0.15,,,0,0.16,,,Force (N),Position (m),,,,,0,0.18,,,,0,0.38
0,0.15,,,0,0.15,,,0,0.16,,,0,0.32,,,,,0,0.18,,,,0,0.38
0,0.15,,,0,0.15,,,0,0.16,,,0,0.32,,,,,0,0.18,,,,0,0.38
0,0.15,,,0,0.15,,,0,0.16,,,0,0.32,,,,,0,0.18,,,,0,0.38
0,0.15,,,0,0.15,,,0,0.16,,,0,0.32,,,,,0,0.18,,,,0,0.38
0,0.15,,,0,0.15,,,0,0.16,,,0,0.32,,,,,0,0.18,,,,0,0.38
0,0.15,,,0,0.15,,,0,0.16,,,0,0.32,,,,,0,0.18,,,,0,0.38
0,0.15,,,0,0.15,,,0,0.16,,,0,0.32,,,,,0,0.18,,,,0,0.38
0,0.15,,,0,0.15,,,0,0.16,,,0,0.32,,,,,0,0.18,,,,0,0.38
0,0.15,,,0,0.15,,,0,0.16,,,0,0.32,,,,,0,0.18,,,,0,0.38
,,,,,,,,0,0.16,,,0,0.32,,,,,0,0.18,,,,0,0.38
110,,,,110,,,,0,0.16,,,0,0.32,,,,,0,0.18,,,,0,0.38
Run #11,Run #11,,,Run #22,Run #22,,,,,,,0,0.32,,,,,,,,,,,
Force (N),Position (m),,,Force (N),Position (m),,,,,,,0,0.32,,,,,,,,,,,
1.3,0.18,,,1,0.15,,,110,,,,0,0.32,,,,,,,,,,,
1.3,0.18,,,1,0.15,,,Run #46,Run #46,,,0,0.32,,,,,,,,,,,
1.3,0.18,,,1,0.15,,,Force (N),Position (m),,,,,,,,,110,,,,,,
1.3,0.17,,,1,0.15,,,1.1,0.2,,,,,,,,,Run #63,Run #63,,,,100,
1.2,0.17,,,1,0.15,,,1.1,0.2,,,,,,,,,Force (N),Position (m),,,,Run #75,Run #75
1.2,0.17,,,1,0.15,,,1.1,0.18,,,,,,,,,1,0.21,,,,Force (N),Position (m)
1.2,0.18,,,1,0.15,,,1.1,0.2,,,,,,,,,1,0.19,,,,1,0.38
1.3,0.18,,,1,0.15,,,1.1,0.2,,,,,,,,,1,0.2,,,,1,0.38
